Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,ECG,base,0.5,1.0,low,edge,2.096583919439161,1.0,152.77239878234636,3.2486259407058515,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.5566341421002063,2.096583919439161,1.0,199.67485540335193,152.77239878234636,3.1186259407058516,3.2486259407058515,1.9637055017209466,496.30037770818944,320.30015462121423,248.72676186785432,13.564006839340493,0.0,0.31819567452941366,0.4271800228279811,0.10530572327894948,0.22480075650784437,L2_Edge
baseline,ECG,base,0.5,1.0,high,edge,2.3809647056644017,0.971375,153.30934744931074,3.269999936892692,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.540545624050708,2.380964705664402,0.9225,200.44192492758674,153.30934744931074,3.1399999368926923,3.269999936892692,1.956827845080941,501.3215564843059,365.02414532524966,282.4640768588802,13.564006839340493,0.0,0.3489601440444954,0.46520364930938474,0.10830436235368447,0.2757947661754837,L2_Edge
baseline,ECG,base,1.0,1.0,low,edge,1.4753257598117957,1.0,208.12303101613264,3.180079268969856,1.0,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.5490920478023855,1.4753257598117957,1.0,216.80336779570294,208.12303101613264,3.050079268969856,3.180079268969856,1.441455078447063,661.8477363295738,307.0492688682098,175.02423610898444,11.158340421055723,0.0,0.3729325029920822,0.32925413225905564,0.09568905045306314,0.11339926198829002,L1_Device
baseline,ECG,base,1.0,1.0,high,edge,1.639947630411123,0.971375,207.75335496991207,3.1898380250775493,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.5006056748859948,1.639947630411123,0.9225,216.39261663323563,207.75335496991207,3.0598380250775494,3.1898380250775493,1.4440200017152434,662.6995515204594,340.70462219286816,194.55403619337727,11.158340421055723,0.0,0.4027934668019443,0.35231452238787025,0.09705814339803871,0.14291858842477442,L1_Device
baseline,ECG,large,0.5,1.0,low,edge,1.6141402526188116,1.0,196.23820600138595,3.3396198016006804,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.2555064702542216,1.6141402526188116,1.0,218.14072143022136,196.23820600138595,3.1096198016006804,3.3396198016006804,1.5287542936357725,655.3609985928219,316.7559874085395,191.49239604100072,18.91787374171423,0.0,0.3613733814237647,0.4309150255249902,0.11807159749615478,0.13829091406566635,L2_Edge
baseline,ECG,large,0.5,1.0,high,edge,1.919501267623425,0.971375,196.72277430577776,3.3778149230854666,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.30110814737775,1.9195012676234253,0.9225,218.71758845925925,196.72277430577776,3.1478149230854666,3.3778149230854666,1.5249886601014093,664.4931227608303,377.6096146503374,227.71868574902058,18.91787374171423,0.0,0.39206561434848786,0.4734775360156901,0.12343013610294298,0.19304701330133037,L2_Edge
baseline,ECG,large,1.0,1.0,low,edge,1.203209777424867,1.0,255.95725296069287,3.375940108927606,1.0,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.3235307551673536,1.203209777424867,1.0,233.6127432314355,255.95725296069287,3.145940108927606,3.375940108927606,1.172070713097045,864.0963564409323,307.9702693651156,142.74194751368887,14.995832733693515,0.0,0.41881582190739186,0.34068531901074695,0.12316711130671473,0.06460452722175881,L1_Device
baseline,ECG,large,1.0,1.0,high,edge,1.383641103082946,0.971375,248.92723245353724,3.377955749616875,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.326366199033761,1.383641103082946,0.9225,226.85310812840123,248.92723245353724,3.147955749616875,3.377955749616875,1.2051714753868707,840.8651761026424,344.42595049939723,164.14729120365828,14.995832733693515,0.0,0.44234251707986866,0.3659019703313549,0.12344989319170396,0.096958741045704,L1_Device
baseline,EEG,tiny,0.5,1.0,low,edge,1.9597790399520267e-05,1.0,154.52331000886977,3.9347938265888174,0.5,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.3164843963384731e-05,1.959779039952027e-05,1.0,252.72019644441028,154.52331000886977,3.8847938265888176,3.9347938265888174,1.9414546580886711,608.0173662869707,0.0030283154413939225,289.6392762295805,0.0,0.0,0.31997190676309667,1.729892664626599e-06,0.2015708211320006,0.28664009237213145,L1_Device
baseline,EEG,tiny,0.5,1.0,high,edge,1.910902919981208e-05,1.0,154.377106492771,3.857596294740537,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.1186507993572918e-05,1.910902919981208e-05,0.9225,252.45911873709105,154.377106492771,3.807596294740537,3.857596294740537,1.9432933212415668,595.5245539992786,0.00294999663575286,282.4157863745177,0.0,0.0,0.35004307356005504,1.664345753598365e-06,0.1907404862966331,0.2757217750252665,L1_Device
