Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,uRadar,large,0.5,1.0,low,edge+cloud,0.1570090728248523,1.0,282.0116824839826,5.787916884390462,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,1.1,0.2,0.3,1.0,0.17446342587498873,0.15700907282485227,1.0,278.76858288495606,282.0116824839826,5.377916884390462,5.787916884390462,1.063785717519128,1632.260178644405,44.27839279258674,197.80805001369146,8.94974664379995,100.0,0.4435075004618404,0.12137548256674209,0.9615524905793629,0.44783703591402696,L3_Connectivity
baseline,uRadar,large,0.5,1.0,high,edge+cloud,0.1710609870504559,0.991825,279.1511048965997,5.561324081784322,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.0,0.16564484573149796,0.1710609870504559,0.9225,275.8042537788598,279.1511048965997,5.151324081784322,5.561324081784322,1.0746867726392233,1552.4497621181613,47.75186353983769,215.5113693309579,8.94974664379995,100.0,0.47102358823023616,0.12342505757301821,0.9297629260071182,0.47459563352780054,L3_Connectivity
baseline,uRadar,large,1.0,0.25,low,edge+cloud,0.1469070038142946,0.255625,88.84424594723684,5.895450497638628,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.1,1.4,0.2,1.1,0.2,0.3,1.2903225806451613,0.20683438604737595,0.14690700381429458,0.255625,260.4094281450192,88.84424594723684,5.074139997803376,5.895450497638628,3.3766958884221396,523.7768539819662,13.051841978248849,185.08094745757813,7.862330213757063,100.0,0.5389061159882458,0.10414467714317359,0.9766387894499464,0.42859999849833114,L3_Connectivity
baseline,uRadar,large,1.0,0.25,high,edge+cloud,0.1584573175613111,0.24795625,89.70208172039261,5.781525933895466,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.2903225806451613,0.16817287671461903,0.15845731756131112,0.230625,263.3547870228073,89.70208172039263,4.968163659437643,5.781525933895466,3.344403989810627,518.6149117908604,14.213951249078937,199.63262270944315,7.862330213757063,100.0,0.5496915240018249,0.10560060725065128,0.9606558798701876,0.45059488068357134,L3_Connectivity
baseline,uRadar,large,1.0,0.5,low,edge+cloud,0.1339351064313349,0.51125,178.42791574586536,5.792623789729644,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.1,1.4,0.2,1.1,0.2,0.3,1.1764705882352942,0.2068196936635807,0.1339351064313349,0.51125,283.9964218813139,178.42791574586533,5.10678456164728,5.792623789729644,1.6813512546281695,1033.565789501376,23.89776188574373,168.73828852624783,5.626368179888641,100.0,0.5344579703557653,0.07973342933478363,0.962212840199891,0.40389804139946694,L3_Connectivity
baseline,uRadar,large,1.0,0.5,high,edge+cloud,0.1414707886412875,0.4959125,178.7017436088274,5.760527264011129,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.1764705882352942,0.1646749920692236,0.14147078864128754,0.46125,284.46651263318006,178.7017436088274,5.076216441915361,5.760527264011129,1.6787748901694588,1029.4162661849768,25.281076599913977,178.23212589917736,5.626368179888641,100.0,0.554225049188998,0.0807677819128195,0.9577098967474151,0.4182479929266392,L3_Connectivity
baseline,uRadar,large,1.0,1.0,high,edge+cloud,0.1230834828153423,0.991825,361.0002189804284,5.435963692263219,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.0,0.16855503404528674,0.12308348281534234,0.9225,298.7126343179643,361.0002189804284,5.025963692263219,5.435963692263219,0.8310244266535043,1962.38408327668,44.433164249212375,155.0668587907412,10.842391612891777,100.0,0.5478382041452359,0.13825009385760678,0.9121756410110904,0.38323365182702107,L3_Connectivity
baseline,uRadar,large,2.0,0.25,high,edge+cloud,0.1088618711044805,0.24795625,129.20771862055048,5.862321933675394,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.2903225806451613,0.16339337590592104,0.1088618711044805,0.230625,297.0165332154645,129.20771862055048,5.043322729000367,5.8623219336753944,2.3218427134451782,757.4572428694117,14.065794010174352,137.1497459133497,5.19300850092872,100.0,0.5938321466378413,0.07085269508978788,0.9719910574338262,0.3561519048792002,L3_Connectivity
baseline,uRadar,large,2.0,0.5,low,edge+cloud,0.0935054368041833,0.51125,255.3967496088688,5.727175335963216,2.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.1,1.4,0.2,1.1,0.2,0.3,1.1764705882352942,0.20419698461871197,0.0935054368041833,0.51125,309.77220397299527,255.3967496088688,5.044452700917349,5.727175335963216,1.1746429837475987,1462.7019652450865,23.880984630545907,117.8029255707208,8.21202031492183,100.0,0.6088595067684611,0.10342149491612582,0.9530308281358191,0.32690915263728265,L3_Connectivity
baseline,uRadar,large,2.0,0.5,high,edge+cloud,0.1011841222700992,0.4959125,258.0086808385197,5.720777835186424,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.1764705882352942,0.16656672361091115,0.10118412227009922,0.46125,313.1101352568942,258.0086808385197,5.038359843034689,5.720777835186424,1.162751574966431,1476.0103426266917,26.106381908711782,127.47692575016065,8.21202031492183,100.0,0.6308392555602991,0.10458571650580391,0.9521332984627415,0.3415314205565383,L3_Connectivity
baseline,uRadar,large,2.0,1.0,low,edge+cloud,0.0793744606521245,1.0,513.5780885039202,5.478435692397477,2.0,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,1.1,0.2,0.3,1.0,0.1763966894804464,0.0793744606521245,1.0,319.85820351688193,513.5780885039202,5.068435692397477,5.478435692397477,0.5841370703215079,2813.604530893147,40.76498377774773,100.0,10.22400423498171,100.0,0.6591931118949557,0.12608593483733047,0.9181341991614445,0.3,L3_Connectivity
