Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,PPG,tiny,1.0,1.0,low,edge,2.28297519316638,1.0,136.56121148189703,3.269581327425945,1.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.168826433508061,2.28297519316638,1.0,162.58054142354874,136.56121148189703,3.2195813274259453,3.269581327425945,2.196817066460844,446.4979871118761,311.7658581619188,197.04186463951416,15.058423985105595,0.0,0.30153849879129857,0.46330751192437136,0.10824563404227891,0.14667894540242596,L2_Edge
baseline,PPG,tiny,1.0,1.0,low,edge+cloud,2.1853842132496606,1.0,141.18861924943027,4.733765872110858,1.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,1.1,0.2,0.3,1.0,2.965878575124539,2.18538421324966,1.0,144.84589745698335,141.18861924943027,4.503765872110858,4.733765872110857,2.1248171530738342,668.353867333407,308.551379598222,188.61886087129648,17.942132394227173,100.0,0.3063358325533685,0.4833903230325646,0.8136616428192605,0.43394756071157825,L3_Connectivity
baseline,PPG,tiny,1.0,1.0,high,edge,2.626755277228157,0.9407,135.7673973722098,3.323497204117125,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.174655785069062,2.626755277228157,0.9225,161.5360491739603,135.7673973722098,3.2734972041171253,3.323497204117125,2.209661566815944,451.22256557679805,356.62772752298434,226.71326404509009,15.058423985105595,0.0,0.33093101807426006,0.5080295590138838,0.11580969708325127,0.1915273166656045,L2_Edge
baseline,PPG,tiny,1.0,1.0,high,edge+cloud,2.5774887421134536,0.9407,138.13502057373418,4.470836648510298,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.0,3.0483838219829207,2.577488742113454,0.9225,141.39550347314596,138.13502057373418,4.240836648510298,4.470836648510297,2.1717881443385676,617.5791124237746,356.0414604204102,222.46110660930768,17.942132394227173,100.0,0.33339366068318654,0.5339018697834816,0.7767743037888649,0.4851001733838617,L3_Connectivity
baseline,PPG,tiny,2.0,0.25,low,edge,2.079978541867558,0.255625,51.37386018766677,3.5729840482377964,2.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,0.6,0.02,0.0,1.2903225806451613,2.5037044010340654,2.079978541867558,0.255625,132.3236558195406,51.37386018766677,3.273706091383997,3.5729840482377964,5.839545615301465,183.55798294693219,106.85652680325093,179.52137698497216,16.69113297445952,0.0,0.485383954882991,0.4306209128061832,0.1508111536603399,0.12019669816149631,L1_Device
baseline,PPG,tiny,2.0,0.25,low,edge+cloud,1.9306771184125888,0.255625,54.09567272634441,5.015632940397135,2.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,3.3199826008130584,1.9306771184125884,0.255625,127.92427307811488,54.09567272634441,4.435705060834544,5.0156329403971345,5.545730090419987,271.3240380591959,104.44127753788908,166.6352838907679,19.737619982958776,100.0,0.4901689035120658,0.4467742270951099,0.8532058439810721,0.4007193462738685,L3_Connectivity
baseline,PPG,tiny,2.0,0.25,high,edge,2.4271505261308968,0.2351749999999999,52.04075264251916,3.631850117485088,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.2903225806451613,2.202339775679146,2.4271505261308963,0.230625,134.623284974204,52.04075264251916,3.3284652255675238,3.631850117485088,5.7647129368165455,189.0042135987456,126.31074015653822,209.48552873511463,16.69113297445952,0.0,0.4963267170948642,0.4722911564810117,0.15906969800918097,0.16548756509728602,L1_Device
baseline,PPG,tiny,2.0,0.25,high,edge+cloud,2.3117468311428038,0.2351749999999999,52.95482966502133,5.033305045406474,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,2.9966073636632125,2.311746831142804,0.230625,124.37301063041657,52.95482966502133,4.452144228285092,5.033305045406473,5.6652056459764495,266.5378113315922,122.41815967182002,199.52512298265222,19.737619982958776,100.0,0.4979401767710988,0.4920568372655774,0.8556851306877128,0.45043239466153007,L3_Connectivity
baseline,PPG,tiny,2.0,0.5,low,edge,1.876087329568272,0.51125,101.84639853258936,3.567527214769872,2.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,0.6,0.02,0.0,1.1764705882352942,2.476820147549082,1.8760873295682718,0.51125,153.18344574584373,101.84639853258936,3.347644966447497,3.567527214769872,2.9456122584835867,363.3397984913109,191.07273784915154,161.92368044612306,23.30031145181517,0.0,0.45449672746211645,0.4912482184617993,0.1500455937754123,0.09359774955906733,L2_Edge
baseline,PPG,tiny,2.0,0.5,low,edge+cloud,1.8022204273891365,0.51125,107.01169446608338,4.964412266900661,2.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,1.1,0.2,0.3,1.1764705882352942,3.39900097592178,1.802220427389136,0.51125,146.321703449157,107.0116944660834,4.498011682762534,4.96441226690066,2.8034319192570387,531.2501687092499,192.85866173630046,155.54828390914423,23.4900145258478,100.0,0.4603342600898022,0.48525446144351675,0.846019901229041,0.383961326721974,L3_Connectivity
