Scenario,Modality,Model,fs_factor,duty,motion,network,Error,Coverage,Energy_mWh_day,Latency_p95_s
Baseline,ECG,tiny,1.0,0.5,low,edge+cloud,1.898063169337981,0.51125,97.20876542398221,4.6807262956219
Baseline,ECG,tiny,1.0,0.5,high,edge,2.1405242265454745,0.48568749999999994,92.09510212980517,3.323480989224573
Baseline,ECG,tiny,1.0,0.5,high,edge+cloud,2.0348475160534485,0.48568749999999994,96.1696651083057,4.550862594010486
Baseline,ECG,tiny,1.0,1.0,low,edge,1.612056744632046,1.0,188.58063056516846,3.1134936490402594
Baseline,ECG,tiny,1.0,1.0,low,edge+cloud,1.5524884401634451,1.0,194.23172586201423,4.444515816059894
Baseline,ECG,tiny,1.0,1.0,high,edge,1.7973706190686303,0.9713749999999999,186.2936692015756,3.1547838067085716
Baseline,ECG,tiny,1.0,1.0,high,edge+cloud,1.7872516366376159,0.9713749999999999,193.77107822601172,4.313377005668356
Baseline,ECG,tiny,2.0,0.25,low,edge,1.475003317227563,0.255625,72.92136143517284,3.3606615328486606
Baseline,ECG,tiny,2.0,0.25,low,edge+cloud,1.4533342505894378,0.255625,75.11659962483476,4.800689703986258
Baseline,ECG,tiny,2.0,0.25,high,edge,1.6281746069183758,0.24284374999999997,74.15159449278234,3.2921378263194465
Baseline,ECG,tiny,2.0,0.25,high,edge+cloud,1.6862477395652853,0.24284374999999997,75.29322112710463,4.714967269283076
Baseline,ECG,tiny,2.0,0.5,low,edge,1.3822957109911669,0.51125,144.53281622279528,3.2162183551787553
Baseline,ECG,tiny,2.0,0.5,low,edge+cloud,1.3277783785739787,0.51125,151.48829706193848,4.607113078136515
Baseline,ECG,tiny,2.0,0.5,high,edge,1.479748664067189,0.48568749999999994,149.71887051874506,3.2204123142659147
Baseline,ECG,tiny,2.0,0.5,high,edge+cloud,1.4530287808011095,0.48568749999999994,150.97777759879827,4.53907345970237
Baseline,ECG,tiny,2.0,1.0,low,edge,1.132945564161946,1.0,296.8548786040671,3.2223693007731335
Baseline,ECG,tiny,2.0,1.0,low,edge+cloud,1.1365930643763729,1.0,295.72423264175575,4.490869411888836
Baseline,ECG,tiny,2.0,1.0,high,edge,1.3231013159408866,0.9713749999999999,294.9094926620268,3.1322792057996307
Baseline,ECG,tiny,2.0,1.0,high,edge+cloud,1.2978759005641674,0.9713749999999999,294.1308012300055,4.324538210255978
Baseline,ECG,base,0.5,0.25,low,edge,2.6755850774480354,0.255625,38.834818753227154,3.4957227240426816
Baseline,ECG,base,0.5,0.25,low,edge+cloud,2.682032575297633,0.255625,40.6819257187384,4.837166845646669
Baseline,ECG,base,0.5,0.25,high,edge,3.038335931637615,0.24284374999999997,38.41594224466424,3.4711609541860944
Baseline,ECG,base,0.5,0.25,high,edge+cloud,3.0093354998431296,0.24284374999999997,40.73346770793375,4.990264271091655
Baseline,ECG,base,0.5,0.5,low,edge,2.44305147931019,0.51125,80.03120005890732,3.535459878319007
Baseline,ECG,base,0.5,0.5,low,edge+cloud,2.350572514005814,0.51125,80.47302379496506,4.771710092351641
Baseline,ECG,base,0.5,0.5,high,edge,2.7721495533168157,0.48568749999999994,77.55271074969215,3.455510588216251
Baseline,ECG,base,0.5,0.5,high,edge+cloud,2.6543880313384567,0.48568749999999994,81.60309422025396,4.724337239002946
Baseline,ECG,base,0.5,1.0,low,edge,2.096583919439161,1.0,152.77239878234636,3.2486259407058515
